a art.一(个)；每一(个)$0
abandon vt.丢弃；放弃，抛弃$0
ability n.能力；能耐，本领$0
able a.有能力的；出色的$0
abnormal a.不正常的；变态的$0
aboard ad.在船(车)上；上船$0
about prep.关于；在…周围$0
above prep.在…上面；高于$0
abroad ad.(在)国外；到处$0
absence n.缺席，不在场；缺乏$0
absent a.不在场的；缺乏的$0
absolute a.绝对的；纯粹的$0
absolutely ad.完全地；绝对地$0
absorb vt.吸收；使专心$0
abstract a.抽象的 n.摘要$0
abundant a.丰富的；大量的$0
abuse vt.滥用；虐待 n.滥用$0
academic a.学院的；学术的$0
academy n.私立中学；专科院校$0
accelerate vt.(使)加快；促进$0
acceleration n.加速；加速度$0
accent n.口音，腔调；重音$0
accept vt.vi.接受；同意$0
acceptable a.可接受的，合意的$0
acceptance n.接受，验收；承认$0
access n.接近；通道，入口$0
accessory n.同谋，从犯；附件$0
accident n.意外的；事故$0
accidental a.偶然的；非本质的$0
accommodate vt.容纳；供应，供给$0
accommodation n.招待设备；预定铺位$0
accompany vt.陪伴，陪同；伴随$0
accomplish vt.达到(目的)；完成$0
accord vt.使一致；给予$0
accordance n.一致；和谐；授予$0
accordingly ad.因此，所以；照着$0
account n.记述；解释；帐目$0
accumulate vt.积累 vi.堆积$0
accuracy n.准确(性)；准确度$0
accurate a.准确的，正确无误的$0
accuse vt.指责；归咎于$0
accustom vt.使习惯$0
accustomed a.惯常的；习惯的$0
ache vi.痛；想念 n.疼痛$0
achieve vt.完成，实现；达到$0
achievement n.完成；成就，成绩$0
acid n.酸；酸的，酸性的$0
acquaintance n.认识；了解；熟人$0
acquire vt.取得；获得；学到$0
acre n.英亩(=6.07亩)$0
across prep.横过；在…对面$0
act vi.行动；见效 n.行为$0
action n.行动；作用；功能$0
active a.活跃的；积极的$0
activity n.活动；活力；行动$0
actor n.男演员；演剧的人$0
actress n.女演员$0
actual a.实际的；现行的$0
actually ad.实际上；竟然$0
acute a.尖的，锐的；敏锐的$0
ad n.广告$0
adapt vt.使适应；改编$0
add vt.添加，附加，掺加$0
addition n.加，加法；附加物$0
additional a.附加的，追加的$0
address n.地址；演说；谈吐$0
adequate a.足够的；可以胜任的$0
adjective n.形容词 a.形容词的$0
adjust vt.调整，调节；校正$0
administration n.管理；管理部门$0
admire vt.钦佩，羡慕，赞赏$0
admission n.允许进入；承认$0
admit vt.承认；准许…进入$0
adopt vt.收养；采用；采取$0
adult n.成年人 a.成年的$0
advance vi.前进；提高 n.进展$0
advanced a.先进的；高级的$0
advantage n.优点，优势；好处$0
adventure n.冒险；惊险活动$0
adverb n.副词$0
advertisement n.广告；公告；登广告$0
advice n.劝告；忠告；意见$0
advisable n.明智的；可取的$0
advise vt.劝告；建议；通知$0
aeroplane n.飞机$0
affair n.事情，事件；事务$0
affect vt.影响；感动$0
affection n.慈爱，爱；爱慕$0
afford vt.担负得起…；提供$0
afraid a.害怕的；担心的$0
Africa n.非洲$0
African a.非洲的 n.非洲人$0
after prep.在…以后；次于$0
afternoon n.下午，午后$0
