abandon 放弃；放纵$0
abash 使羞愧，使尴尬$0
abate 减轻，减少$0
abbreviate 缩短；缩写$0
abdicate 退位；辞职，放弃$0
aberrant 越轨的；异常的$0
abet 教唆；鼓励，帮助$0
abeyance 中止，搁置$0
abhor 憎恨，嫌恶$0
abide 容忍，忍受$0
abject 极可怜的； 卑下的$0
abjure 发誓放弃；弃绝$0
ablution 净礼，沐浴$0
abnegate 否认；放弃$0
abolish 废止，废除$0
abominate 痛恨；厌恶$0
aboveboard 光明正大的$0
abrade 磨损，刮除$0
abreast 并列地，并排地$0
abridge 删减；缩短$0
abrogate 废止，废除$0
abscission 切除，截去；脱离$0
abscond 潜逃，逃亡$0
absenteeism 旷课，旷工$0
absolute 绝对的，完全的；无限制的$0
absolve 赦免，免除$0
absorb 吸收；同化；吸引…的注意$0
abstain 禁绝，放弃$0
abstemious 有节制的，节俭的$0
abstract 摘要$0
abstruce 难懂的，深奥的$0
absurd 荒谬的，可笑的$0
abundant 丰富的，盛产的$0
abuse 辱骂；粗话；滥用$0
abusive 谩骂的，毁谤的；虐待的$0
abut 接界，毗连$0
abysmal 无底的，深不可测的；糟透的，极坏的$0
academic 学院的，学术的；理论的$0
accede 同意$0
accelerate 加速；促进$0
accentuate 重读；强调$0
access 通路；途径$0
accessible 易达到的；易受影响的$0
accessory 附属的，次要的$0
acclaim 欢呼，称赞$0
acclimate 使服水土；使适应$0
accolate 推崇；赞扬$0
accommodate 与…一致；提供食宿$0
accommodating 乐于助人的$0
accompany 伴随，陪伴$0
accomplice 同谋着，帮凶$0
accomplish 完成，做成功$0
accord 同意；一致$0
accost 搭话$0
accountability 负有责任$0
accrete 逐渐增长；连生$0
accrue 增大；增多$0
accumulate 积聚，积累$0
accurate 精确的，精准的$0
accuse 谴责，指责$0
acerbic 苦涩的；刻薄的$0
acknowledge 承认；致谢$0
acme 顶点，极点$0
acolyte 助手，侍僧$0
acorn 橡子，橡果$0
acoustic 听觉的，有关声音的$0
acquaint 使…熟知；通知$0
acquiesce 勉强同意，默许$0
acquired 后天习得的$0
acquisitive 渴望得到的，贪婪的$0
acquit 宣告无罪；脱卸义务和责任；还清$0
acquittal 宣告无罪，开释$0
acrid 辛辣的，刻薄的$0
acrimony 尖刻，刻薄$0
acrobat 特技演员，杂技演员$0
acrophobia 恐高症$0
acuity 敏锐$0
acumen 敏锐，精明$0
acute 敏锐的，灵敏的；急性的$0
adage 格言，谚语$0
adamant 强硬的；坚决的，固执的$0
adaptable 有适应能力的；可改编的$0
addendum 补充；附录$0
addict 沉溺；上瘾$0
additive 添加剂$0
address 处理，对付，着手解决；致辞$0
adept 老练的，精通的$0
adequate 足够的$0
adhere 黏着，坚持$0
adherent 拥护者，信徒$0
adhesive 带粘性的，胶粘的；胶合剂$0
adjacent 接近的，毗连的$0
adjourn 使延期，推迟；休会$0
adjunct 附加物，附件$0
adjust 调整，整理；使适合，适应$0
admire 钦佩，赞赏$0
admission 许可；入场费；承认，坦白$0
admonish 训诫；警告$0
adobe 泥砖，土坯$0
adolescent 青春期的；青少年$0
adore 崇拜，敬仰；热爱$0
adorn 装饰$0
adroit 熟练的，灵巧的$0
adulate 谄媚，奉承$0
adumbrate 预示；预告$0
advent 到来，来临$0
adventitious 偶然的$0
adverse 不利的；相反的；敌对的$0
advertise 做广告；通知$0
advisable 适当的，可行的$0
advocate 拥护，支持，鼓吹；支持者，拥护者$0
aegis 盾；保护，庇护$0
aerate 充气，让空气进入$0
aerial 空中的，空气中的$0
aesthete 审美家$0
aesthetic 美学的，有审美感的$0
affable 易于交谈的；和蔼的$0
affectation 做作，假装$0
affected 不自然的；假装的$0
affidavit 宣誓书$0
affiliate 加入；联合$0
affinity 密切关系；吸引力$0
affirm 确认；肯定$0
affix 粘上，贴上；添写某事物；词缀$0
afflict 使痛苦，折磨$0
affluent 富裕的，丰富的$0
affordable 能够支付的$0
affront 侮辱，冒犯$0
agenda 议程$0
agglomerate 凝聚，结块$0
aggrandize 增大，扩张；吹捧$0
aggravate 加重，恶化$0
aggregate 集合；合计$0
aggression 侵略；敌对的情绪或行为$0
aggressive 好斗的；进取的$0
aggressor 侵略者，进攻者$0
aggrieve 使受委屈，使痛苦$0
agile 敏捷的，灵活的$0
agitate 搅动，煽动；使不安，使焦虑$0
agnostic 不可知论的；不可之论者$0
agog 兴奋的，有强烈兴趣的$0
agony 极大的痛苦$0
agrarian 土地的$0
agreeable 令人喜悦的，宜人的；欣然同意的$0
agronomy 农学，农艺学$0
ail 生病$0
airborne 空气传播的；空运的$0
airtight 密闭的，不透气的$0
alabaster 雪白润滑的$0
alacrity 乐意，欣然；敏捷，活泼$0
albeit 虽然，尽管$0
alchemy 炼金术$0
alcove 凹室$0
alert 警惕的，机警的；警报$0
alias 化名，别名$0
alibi 某人当时不在犯罪现场的申辩或证明$0
alienate 疏远，离间某人$0
align 将某物排列在一条直线上；与某人结盟$0
alimentary 饮食的，营养的$0
alkali 碱$0
allay 减轻，缓和$0
allege 陈述，宣称$0
allegiance 忠诚，拥护$0
allegory 寓言$0
allergic 过敏的；对…讨厌的$0
alleviate 缓和，减轻$0
allocate 配给，分配$0
allowance 津贴，补助；承认，允许$0
allude 间接提到，暗指$0
alluring 吸引人的，迷人的$0
aloft 在空中$0
aloof 冷淡的，孤零的$0
alphabetical 按字母表顺序的$0
alter 改变，更改$0
alternate 轮流的，交替的；轮流，交替；候选人，替代性选择$0
altruism 利他主义；无私$0
aluminium 铝$0
amalgam 混合物$0
amalgamate 合并；混合$0
amass 积聚$0
amateur 业余爱好者$0
ambidextrous 十分灵巧的$0
ambiguous 含糊的$0
ambivalent 有矛盾看法的$0
amble 漫步，缓行$0
ambush 埋伏；伏击$0
ameliorate 改善，改良$0
amenable 愿服从的，通情达理的$0
amend 修正；变化$0
amenity 礼仪；使人感到舒适的事物$0
amiable 和蔼的，亲切的$0
amicable 友好的$0
amity 友好关系$0
amnesia 健忘症$0
amnesty 大赦，特赦$0
amorphous 无定形的$0
amortize 分期偿还$0
amphibian 两栖动物；水陆两用飞行器$0
ample 充足的，丰富的$0
amplify 放大；详述$0
amplitude 广大，广阔$0
amulet 护身符$0
amuse 使愉快，逗某人笑$0
anachronistic 有时代错误的$0
anaerobic 厌氧的；厌氧微生物$0
anagram 变形词$0
analgesia 无痛觉，丧失痛觉$0
analgesic 镇痛剂；止痛的$0
analogy 相似；类比$0
analyze 分析，分解$0
anarchy 无政府；政治上的混乱$0
anathema 被诅咒的人；宗教意义的诅咒$0
anatomical 解剖学的$0
ancestor 祖先，祖宗$0
ancestry 家系$0
anchor 稳固；固定；锚$0
ancillary 辅助的；助手$0
anecdote 短故事；轶事$0
anemia 贫血，贫血症$0
anguish 极大的痛苦$0
angular 有角的；瘦削的$0
anhydrous 无水的$0
animate 活的，有生命的；赋予生命$0
animosity 憎恶，仇恨$0
animus 敌意，憎恨$0
annals 编年史$0
annexation 吞并，合并$0
annihilate 消灭$0
annotate 注解$0
announce 宣布，发表；通报…的到来$0
annoy 惹恼；打扰，骚扰$0
annul 宣告无效；取消$0
anomaly 异常，反常；异常事物$0
anonymity 无名，匿名$0
anorexia 厌食症$0
antagonize 使对抗；与…对抗$0
Antarctic 南极的$0
antecedent 前事；前辈；先行的$0
antediluvian 史前的；陈旧的$0
antenna 触角；天线$0
anterior 较早的；以前的$0
anthem 圣歌；赞美歌；国歌$0
anthology 选集$0
anthropologist 人类学家$0
antibiotic 抗生素；抗菌的$0
antibody 抗体$0
antic 古怪的$0
anticipate 预期，期待$0
antidote 解毒药$0
antihistamine 抗组胺剂$0
antipathy 反感，厌恶$0
antique 古时的，古老的；古物，古董$0
antisepic 杀菌剂；防腐的$0
antithesis 对立，相对$0
anvil 铁砧$0
aorta 主动脉$0
apex 顶点，最高点$0
aphorism 格言$0
aplomb 沉着，镇静$0
apocalyptic 预示世界末日的；启示的$0
apocrypha 伪经，伪书$0
apocryphal 假冒的，虚假的$0
apogee 远地点$0
apologize 道歉；辩解$0
apoplectic 中风的；愤怒的$0
apostasy 背教，脱党，变节$0
apostate 背教者；变节者$0
apostrophe 撇号$0
appall 使惊骇，使恐怖$0
apparatus 仪器，设备$0
apparel 衣服$0
